year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1948,Americas,"Volcanic activity",2,200,0,0,0,0,0
1948,Asia,Earthquake,8,11236,0,12000,0,12000,2000000
1948,Asia,Flood,6,1324,0,0,0,0,0
1948,Asia,Landslide,2,1000,0,0,0,0,0
1948,Asia,Storm,6,5336,828306,0,0,828306,0
1948,Europe,Earthquake,2,220000,0,0,0,0,50000
1948,Europe,Landslide,2,50,0,0,0,0,0
1948,Europe,Storm,2,160,0,0,0,0,0
1948,Oceania,Storm,2,4,0,0,0,0,0
1949,Americas,Earthquake,10,12098,210000,346,0,210346,288400
1949,Americas,Flood,2,80000,0,0,0,0,30000
1949,Americas,Storm,6,374,0,0,0,0,0
1949,Americas,"Volcanic activity",4,4000,0,0,0,0,0
1949,Asia,Earthquake,2,874,0,710,0,710,0
1949,Asia,Flood,2,114000,0,0,0,0,0
1949,Asia,Storm,10,5234,388092,0,0,388092,0
1949,Europe,Landslide,2,24000,0,0,0,0,0
1949,Europe,Wildfire,2,160,0,0,0,0,0
1950,Africa,Epidemic,2,0,144324,0,0,144324,0
1950,Americas,Earthquake,6,666,0,400,80000,80400,0
1950,Americas,Flood,6,168,214000,0,0,214000,200000
1950,Americas,Landslide,2,260,0,0,0,0,0
1950,Americas,Storm,10,548,0,0,0,0,202000
1950,Asia,Earthquake,2,3000,0,0,0,0,0
1950,Asia,Flood,14,7448,20050000,0,0,20050000,0
1950,Asia,Storm,4,1198,1284234,0,0,1284234,0
1950,Asia,"Volcanic activity",2,168,0,0,0,0,0
1951,Africa,Flood,2,262,0,0,0,0,0
1951,Africa,Storm,2,1000,0,0,0,0,0
1951,Americas,Earthquake,4,3000,0,0,0,0,46000
1951,Americas,"Extreme temperature ",4,138,0,0,0,0,200000
1951,Americas,Flood,2,82,0,0,0,0,2058000
1951,Americas,Storm,4,408,40000,400,0,40400,112000
1951,Asia,Earthquake,2,108,0,300,0,300,0
1951,Asia,Flood,6,10662,637068,0,0,637068,0
1951,Asia,Storm,12,4110,120000,0,0,120000,0
1951,Asia,"Volcanic activity",4,3600,0,0,0,0,0
1951,Europe,Flood,4,326,0,0,347000,347000,600000
1951,Europe,Landslide,2,184,0,0,0,0,40000
1951,Oceania,Storm,4,204,0,0,0,0,500
1951,Oceania,"Volcanic activity",2,6000,0,0,0,0,0
1952,Africa,Flood,2,50,0,0,0,0,0
1952,Africa,Storm,2,70,0,0,0,0,0
1952,Americas,Earthquake,8,44,0,0,0,0,201800
1952,Americas,Flood,4,280,0,0,0,0,0
1952,Americas,Storm,4,558,0,0,0,0,0
1952,Asia,Earthquake,6,220,0,900,0,900,0
1952,Asia,Storm,10,3880,2000000,904,0,2000904,100000
1952,Asia,"Volcanic activity",2,58,58,0,0,58,0
1952,Europe,Earthquake,2,4600,0,0,0,0,0
1952,Europe,Flood,2,68,0,0,0,0,0
1952,Europe,Landslide,2,56,0,0,0,0,0
1952,Europe,Storm,1,4000,0,0,0,0,0
1952,Oceania,Storm,2,46,0,1600,0,1600,4000
1953,Americas,Earthquake,6,44,0,110,0,110,1014620
1953,Americas,Epidemic,2,962,16000,0,0,16000,0
1953,Americas,Flood,2,142,0,0,0,0,0
1953,Americas,Storm,12,936,0,0,0,0,104000
1953,Asia,Earthquake,6,4480,100000,200,0,100200,0
1953,Asia,"Extreme temperature ",6,1338,0,0,0,0,0
1953,Asia,Flood,14,9786,3773520,0,0,3773520,0
